Collection,Name,Year,TV,Film,4K,Blu-ray,3D,DVD,Label,Director,Notes
Apocalypse Now: Final Cut,Apocalypse Now (Final Cut),1979 / 2019,,✓,✓,✓,,,StudioCanal,Francis Ford Coppola,
Apocalypse Now: Final Cut,Hearts of Darkness: A Filmmaker's Apocalypse,1991,,✓,,✓,,,StudioCanal,Fax Bahr; George Hickenlooper; Eleanor Coppola,Documentary; Blu-ray only
,"400 Blows, The",1959,,✓,,✓,,,BFI,François Truffaut,
Irish Folklore Trilogy,"Secret of Kells, The",2009,,✓,,✓,,,StudioCanal,Tomm Moore; Nora Twomey,
Irish Folklore Trilogy,Song of the Sea,2014,,✓,,✓,,,StudioCanal,Tomm Moore,
Irish Folklore Trilogy,Wolfwalkers,2020,,✓,,✓,,,StudioCanal,Tomm Moore; Ross Stewart,
,American Psycho,2000,,✓,,✓,,,Lionsgate,Mary Harron,
,Blade Runner (Final Cut),1982 / 2007,,✓,,✓,,,Warner Bros.,Ridley Scott,Second copy; Blu-ray only
Six Gothic Tales,"Fall of the House of Usher, The",1960,,✓,,✓,,,Arrow Video,Roger Corman,
Six Gothic Tales,"Pit and the Pendulum, The",1961,,✓,,✓,,,Arrow Video,Roger Corman,
Six Gothic Tales,Tales of Terror,1962,,✓,,✓,,,Arrow Video,Roger Corman,
Six Gothic Tales,"Raven, The",1963,,✓,,✓,,,Arrow Video,Roger Corman,
Six Gothic Tales,"Haunted Palace, The",1963,,✓,,✓,,,Arrow Video,Roger Corman,
Six Gothic Tales,"Tomb of Ligeia, The",1964,,✓,,✓,,,Arrow Video,Roger Corman,
,V for Vendetta,2005,,✓,✓,✓,,,Warner Bros.,James McTeigue,
,Mussolini: Son of the Century,2024,✓,,✓,,,,Dazzler Media,Joe Wright,
Blackadder Remastered: The Ultimate Edition,"Black Adder, The",1983,✓,,,,,✓,BBC,Richard Curtis; Rowan Atkinson,
Blackadder Remastered: The Ultimate Edition,Blackadder II,1986,✓,,,,,✓,BBC,Richard Curtis; Ben Elton,
Blackadder Remastered: The Ultimate Edition,Blackadder the Third,1987,✓,,,,,✓,BBC,Richard Curtis; Ben Elton,
Blackadder Remastered: The Ultimate Edition,Blackadder Goes Forth,1989,✓,,,,,✓,BBC,Richard Curtis; Ben Elton,
Resident Evil Trilogy,Resident Evil,2002,,✓,,,,✓,Sony Pictures,Paul W. S. Anderson,
Resident Evil Trilogy,Resident Evil: Apocalypse,2004,,✓,,,,✓,Sony Pictures,Alexander Witt,
Resident Evil Trilogy,Resident Evil: Extinction,2007,,✓,,,,✓,Sony Pictures,Russell Mulcahy,
,Kingdom of Heaven (Director's Cut),2005 / 2006,,✓,,,,✓,20th Century Fox,Ridley Scott,4-disc Director's Cut DVD; second copy
"Naked Gun Trilogy, The","Naked Gun: From the Files of Police Squad!, The",1988,,✓,,,,✓,Paramount,David Zucker,
"Naked Gun Trilogy, The","Naked Gun 2 1/2: The Smell of Fear, The",1991,,✓,,,,✓,Paramount,David Zucker,
"Naked Gun Trilogy, The",Naked Gun 33 1/3: The Final Insult,1994,,✓,,,,✓,Paramount,Peter Segal,
,"Darjeeling Limited, The",2007,,✓,,,,✓,20th Century Fox,Wes Anderson,
,Sin City (Recut & Extended),2005,,✓,,,,✓,Buena Vista,Frank Miller; Robert Rodriguez,Recut & Extended edition
,Jackie Brown,1997,,✓,,,,✓,Lionsgate,Quentin Tarantino,Miramax title
Superman: Animated Collection,Superman: Doomsday,2007,,✓,,,,✓,Warner Bros.,Lauren Montgomery; Bruce Timm; Brandon Vietti,
Superman: Animated Collection,Superman/Batman: Public Enemies,2009,,✓,,,,✓,Warner Bros.,Sam Liu,
Superman: Animated Collection,Superman/Batman: Apocalypse,2010,,✓,,,,✓,Warner Bros.,Lauren Montgomery,
Superman: Animated Collection,Superman vs. The Elite,2012,,✓,,,,✓,Warner Bros.,Michael Chang,
Superman: Animated Collection,Superman: Unbound,2013,,✓,,,,✓,Warner Bros.,James Tucker,
Die Hard Trilogy,Die Hard,1988,,✓,,,,✓,20th Century Fox,John McTiernan,
Die Hard Trilogy,Die Hard 2,1990,,✓,,,,✓,20th Century Fox,Renny Harlin,
Die Hard Trilogy,Die Hard with a Vengeance,1995,,✓,,,,✓,20th Century Fox,John McTiernan,
"Werner Herzog Collection, The","Unprecedented Defence of the Fortress Deutschkreuz, The",1967,,✓,,✓,,,BFI,Werner Herzog,Short
